review,rating,date,bank,source
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06,Bank of Abyssinia Mobile,Google Play Store
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02,Bank of Abyssinia Mobile,Google Play Store
It's better to say I don't use boa rather than pulling your phone out and opening this app,1,2024-12-01,Bank of Abyssinia Mobile,Google Play Store
My attention is very important because it will be the most difficult time for me,5,2024-11-30,Bank of Abyssinia Mobile,Google Play Store
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-29,Bank of Abyssinia Mobile,Google Play Store
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28,Bank of Abyssinia Mobile,Google Play Store
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28,Bank of Abyssinia Mobile,Google Play Store
exellent digital transaction of money,5,2024-11-27,Bank of Abyssinia Mobile,Google Play Store
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26,Bank of Abyssinia Mobile,Google Play Store
Best,5,2024-11-25,Bank of Abyssinia Mobile,Google Play Store
Great,5,2024-11-25,Bank of Abyssinia Mobile,Google Play Store
👏👏👏,5,2024-11-24,Bank of Abyssinia Mobile,Google Play Store
Money,5,2024-11-24,Bank of Abyssinia Mobile,Google Play Store
It needs more improvment,2,2024-11-24,Bank of Abyssinia Mobile,Google Play Store
Hey Google,5,2024-11-21,Bank of Abyssinia Mobile,Google Play Store
Good app,5,2024-11-21,Bank of Abyssinia Mobile,Google Play Store
ab,3,2024-11-20,Bank of Abyssinia Mobile,Google Play Store
Ademtahir,5,2024-11-20,Bank of Abyssinia Mobile,Google Play Store
✌️✌️,5,2024-11-20,Bank of Abyssinia Mobile,Google Play Store
Please this app on my android phone,3,2024-11-20,Bank of Abyssinia Mobile,Google Play Store
GOAT 🐐 🐐,5,2024-11-19,Bank of Abyssinia Mobile,Google Play Store
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19,Bank of Abyssinia Mobile,Google Play Store
Fast and reliable,5,2024-11-18,Bank of Abyssinia Mobile,Google Play Store
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17,Bank of Abyssinia Mobile,Google Play Store
Very good,5,2024-11-14,Bank of Abyssinia Mobile,Google Play Store
One of the poorest mobile banking system,1,2024-11-13,Bank of Abyssinia Mobile,Google Play Store
❤❤❤❤❤❤,5,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
Oene,5,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
i find it interesting specially in reciept downloading,1,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
it good,5,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
"This app crashes everytime, please fix it",1,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,1,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
